Run	actual_sex	SCiMS sample ID	SCiMS predicted sex	Total reads mapped	Reads mapped to X	Reads mapped to Y	Rx	Rx 95% CI	Ry	Ry 95% CI	Posterior probability of being male 	Posterior probability of being female 	Status
S427F5000_SRR064532	female	S427F5000_SRR064532	female	2239	83	1	0.72	(0.72, 0.72)	0.0119	(-0.011, 0.035)	0.0033	0.9967	Success
S427F10000_SRR064532	female	S427F10000_SRR064532	female	4381	170	0	0.7588	(0.759, 0.759)	0.0	(0.0, 0.0)	0.0011	0.9989	Success
S427F100000_SRR064532	female	S427F100000_SRR064532	female	43370	1852	5	0.8384	(0.838, 0.838)	0.0027	(0.0, 0.005)	0.0	1.0	Success
S427F1000000_SRR064532	female	S427F1000000_SRR064532	female	437575	18872	79	0.8482	(0.848, 0.848)	0.0042	(0.003, 0.005)	0.0	1.0	Success
S427M150_SRR346690	male	S427M150_SRR346690	female	72	3	0	0.7728	(0.773, 0.773)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S427M200_SRR346690	male	S427M200_SRR346690	female	103	1	0	0.1981	(0.198, 0.198)	0.0	(0.0, 0.0)	0.0	1.0	Success
S427M250_SRR346690	male	S427M250_SRR346690	female	116	3	0	0.4723	(0.472, 0.472)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S427M300_SRR346690	male	S427M300_SRR346690	uncertain	129	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S427M350_SRR346690	male	S427M350_SRR346690	uncertain	156	4	1	0.4845	(0.485, 0.485)	0.2	(-0.151, 0.551)	0.8449	0.1551	Success
S427M400_SRR346690	male	S427M400_SRR346690	uncertain	189	4	1	0.4179	(0.418, 0.418)	0.2	(-0.151, 0.551)	0.8267	0.1733	Success
S427M450_SRR346690	male	S427M450_SRR346690	male	231	3	2	0.2561	(0.256, 0.256)	0.4	(-0.029, 0.829)	1.0	0.0	Success
S427M1000_SRR346690	male	S427M1000_SRR346690	uncertain	468	16	4	0.6662	(0.666, 0.666)	0.2	(0.025, 0.375)	0.6665	0.3335	Success
S427M5000_SRR346690	male	S427M5000_SRR346690	male	2455	51	16	0.4032	(0.403, 0.403)	0.2388	(0.137, 0.341)	1.0	0.0	Success
S427M10000_SRR346690	male	S427M10000_SRR346690	male	4935	99	24	0.3865	(0.386, 0.386)	0.1951	(0.125, 0.265)	1.0	0.0	Success
S427M100000_SRR346690	male	S427M100000_SRR346690	male	49154	1055	229	0.414	(0.414, 0.414)	0.1783	(0.157, 0.199)	1.0	0.0	Success
S427M1000000_SRR346690	male	S427M1000000_SRR346690	male	489288	10767	2317	0.4242	(0.424, 0.424)	0.1771	(0.171, 0.184)	1.0	0.0	Success
S428F150_SRR064532	female	S428F150_SRR064532	female	73	2	0	0.5169	(0.517, 0.517)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S428F200_SRR064532	female	S428F200_SRR064532	female	92	8	0	1.9188	(1.919, 1.919)	0.0	(0.0, 0.0)	0.0	1.0	Success
S428F250_SRR064532	female	S428F250_SRR064532	female	111	4	0	0.7141	(0.714, 0.714)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S428F300_SRR064532	female	S428F300_SRR064532	female	137	6	0	0.8568	(0.857, 0.857)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S428F350_SRR064532	female	S428F350_SRR064532	female	141	6	0	0.8416	(0.842, 0.842)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S428F400_SRR064532	female	S428F400_SRR064532	female	187	9	1	1.0569	(1.057, 1.057)	0.1	(-0.086, 0.286)	0.0	1.0	Success
S428F450_SRR064532	female	S428F450_SRR064532	female	183	5	0	0.5124	(0.512, 0.512)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S428F1000_SRR064532	female	S428F1000_SRR064532	female	447	26	0	1.1285	(1.128, 1.128)	0.0	(0.0, 0.0)	0.0	1.0	Success
S428F5000_SRR064532	female	S428F5000_SRR064532	female	2166	85	2	0.7779	(0.778, 0.778)	0.023	(-0.009, 0.054)	0.0002	0.9998	Success
S428F10000_SRR064532	female	S428F10000_SRR064532	female	4344	177	0	0.7964	(0.796, 0.796)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S428F100000_SRR064532	female	S428F100000_SRR064532	female	43418	1807	10	0.8167	(0.817, 0.817)	0.0055	(0.002, 0.009)	0.0	1.0	Success
S428F1000000_SRR064532	female	S428F1000000_SRR064532	female	436113	18661	89	0.8409	(0.841, 0.841)	0.0047	(0.004, 0.006)	0.0	1.0	Success
S428M150_SRR346690	male	S428M150_SRR346690	male	80	1	2	0.2405	(0.24, 0.24)	0.6667	(0.133, 1.2)	1.0	0.0	Success
S428M200_SRR346690	male	S428M200_SRR346690	female	98	3	0	0.6467	(0.647, 0.647)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S428M250_SRR346690	male	S428M250_SRR346690	female	119	3	0	0.4896	(0.49, 0.49)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S428M300_SRR346690	male	S428M300_SRR346690	female	143	2	0	0.2604	(0.26, 0.26)	0.0	(0.0, 0.0)	0.0	1.0	Success
S428M350_SRR346690	male	S428M350_SRR346690	male	153	0	1	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S428M400_SRR346690	male	S428M400_SRR346690	female	184	4	0	0.4412	(0.441, 0.441)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S428M450_SRR346690	male	S428M450_SRR346690	female	215	4	0	0.3676	(0.368, 0.368)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S428M1000_SRR346690	male	S428M1000_SRR346690	female	478	16	0	0.6819	(0.682, 0.682)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S428M5000_SRR346690	male	S428M5000_SRR346690	male	2423	51	14	0.3997	(0.4, 0.4)	0.2154	(0.115, 0.315)	1.0	0.0	Success
S428M10000_SRR346690	male	S428M10000_SRR346690	male	4859	128	18	0.5074	(0.507, 0.507)	0.1233	(0.07, 0.177)	0.9965	0.0035	Success
S428M100000_SRR346690	male	S428M100000_SRR346690	male	49025	1089	201	0.4267	(0.427, 0.427)	0.1558	(0.136, 0.176)	1.0	0.0	Success
S428M1000000_SRR346690	male	S428M1000000_SRR346690	male	488904	10651	2298	0.42	(0.42, 0.42)	0.1775	(0.171, 0.184)	1.0	0.0	Success
S429F150_SRR064532	female	S429F150_SRR064532	female	58	8	0	2.7963	(2.796, 2.796)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429F200_SRR064532	female	S429F200_SRR064532	female	81	4	0	0.9073	(0.907, 0.907)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429F250_SRR064532	female	S429F250_SRR064532	female	96	3	0	0.6582	(0.658, 0.658)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S429F300_SRR064532	female	S429F300_SRR064532	female	130	5	0	0.7686	(0.769, 0.769)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S429F350_SRR064532	female	S429F350_SRR064532	female	143	9	1	1.2084	(1.208, 1.208)	0.1	(-0.086, 0.286)	0.0	1.0	Success
S429F400_SRR064532	female	S429F400_SRR064532	uncertain	164	5	1	0.5955	(0.596, 0.596)	0.1667	(-0.132, 0.465)	0.2862	0.7138	Success
S429F450_SRR064532	female	S429F450_SRR064532	uncertain	200	4	1	0.3725	(0.373, 0.373)	0.2	(-0.151, 0.551)	0.7888	0.2112	Success
S429F1000_SRR064532	female	S429F1000_SRR064532	female	426	16	0	0.7205	(0.72, 0.72)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S429F5000_SRR064532	female	S429F5000_SRR064532	female	2146	89	0	0.8167	(0.817, 0.817)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S429F10000_SRR064532	female	S429F10000_SRR064532	female	4391	223	2	1.0004	(1.0, 1.0)	0.0089	(-0.003, 0.021)	0.0	1.0	Success
S429F100000_SRR064532	female	S429F100000_SRR064532	female	44089	1876	11	0.8335	(0.833, 0.833)	0.0058	(0.002, 0.009)	0.0	1.0	Success
S429F1000000_SRR064532	female	S429F1000000_SRR064532	female	436755	18654	83	0.8388	(0.839, 0.839)	0.0044	(0.003, 0.005)	0.0	1.0	Success
S429M150_SRR346690	male	S429M150_SRR346690	male	84	2	1	0.4531	(0.453, 0.453)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S429M200_SRR346690	male	S429M200_SRR346690	female	97	5	0	0.926	(0.926, 0.926)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429M250_SRR346690	male	S429M250_SRR346690	female	109	1	0	0.1816	(0.182, 0.182)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429M300_SRR346690	male	S429M300_SRR346690	female	149	5	0	0.6386	(0.639, 0.639)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S429M350_SRR346690	male	S429M350_SRR346690	female	165	2	0	0.2302	(0.23, 0.23)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429M400_SRR346690	male	S429M400_SRR346690	female	191	2	0	0.1943	(0.194, 0.194)	0.0	(0.0, 0.0)	0.0	1.0	Success
S429M450_SRR346690	male	S429M450_SRR346690	uncertain	218	5	1	0.4468	(0.447, 0.447)	0.1667	(-0.132, 0.465)	0.3218	0.6782	Success
S429M1000_SRR346690	male	S429M1000_SRR346690	male	454	6	3	0.263	(0.263, 0.263)	0.3333	(0.025, 0.641)	1.0	0.0	Success
S429M5000_SRR346690	male	S429M5000_SRR346690	male	2478	46	14	0.3548	(0.355, 0.355)	0.2333	(0.126, 0.34)	1.0	0.0	Success
S429M10000_SRR346690	male	S429M10000_SRR346690	male	4812	98	15	0.3893	(0.389, 0.389)	0.1327	(0.07, 0.195)	0.9709	0.0291	Success
S429M100000_SRR346690	male	S429M100000_SRR346690	male	49306	1038	231	0.4053	(0.405, 0.405)	0.182	(0.161, 0.203)	1.0	0.0	Success
S429M1000000_SRR346690	male	S429M1000000_SRR346690	male	488494	10548	2263	0.4161	(0.416, 0.416)	0.1766	(0.17, 0.183)	1.0	0.0	Success
S430F150_SRR064532	female	S430F150_SRR064532	female	70	3	0	0.8164	(0.816, 0.816)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S430F200_SRR064532	female	S430F200_SRR064532	female	83	3	0	0.6912	(0.691, 0.691)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S430F250_SRR064532	female	S430F250_SRR064532	female	107	3	0	0.554	(0.554, 0.554)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S430F300_SRR064532	female	S430F300_SRR064532	female	137	7	0	1.0254	(1.025, 1.025)	0.0	(0.0, 0.0)	0.0	1.0	Success
S430F350_SRR064532	female	S430F350_SRR064532	female	142	5	0	0.6788	(0.679, 0.679)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S430F400_SRR064532	female	S430F400_SRR064532	female	183	9	0	0.916	(0.916, 0.916)	0.0	(0.0, 0.0)	0.0	1.0	Success
S430F450_SRR064532	female	S430F450_SRR064532	female	179	7	0	0.7552	(0.755, 0.755)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S430F1000_SRR064532	female	S430F1000_SRR064532	female	438	15	0	0.665	(0.665, 0.665)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S430F5000_SRR064532	female	S430F5000_SRR064532	female	2179	94	0	0.8427	(0.843, 0.843)	0.0	(0.0, 0.0)	0.0	1.0	Success
S430F10000_SRR064532	female	S430F10000_SRR064532	female	4369	186	1	0.8371	(0.837, 0.837)	0.0053	(-0.005, 0.016)	0.0	1.0	Success
S430F100000_SRR064532	female	S430F100000_SRR064532	female	43572	1911	11	0.8633	(0.863, 0.863)	0.0057	(0.002, 0.009)	0.0	1.0	Success
S430F1000000_SRR064532	female	S430F1000000_SRR064532	female	437197	18712	97	0.8398	(0.84, 0.84)	0.0052	(0.004, 0.006)	0.0	1.0	Success
S430M150_SRR346690	male	S430M150_SRR346690	male	71	1	1	0.2787	(0.279, 0.279)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S430M200_SRR346690	male	S430M200_SRR346690	female	101	2	0	0.388	(0.388, 0.388)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S430M250_SRR346690	male	S430M250_SRR346690	female	115	2	0	0.3309	(0.331, 0.331)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S430M300_SRR346690	male	S430M300_SRR346690	female	155	4	0	0.4986	(0.499, 0.499)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S430M350_SRR346690	male	S430M350_SRR346690	female	175	7	1	0.7708	(0.771, 0.771)	0.125	(-0.104, 0.354)	0.0071	0.9929	Success
S430M400_SRR346690	male	S430M400_SRR346690	female	205	2	0	0.1833	(0.183, 0.183)	0.0	(0.0, 0.0)	0.0	1.0	Success
S430M450_SRR346690	male	S430M450_SRR346690	female	216	4	0	0.3746	(0.375, 0.375)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S430M1000_SRR346690	male	S430M1000_SRR346690	male	486	10	8	0.3876	(0.388, 0.388)	0.4444	(0.215, 0.674)	1.0	0.0	Success
S430M5000_SRR346690	male	S430M5000_SRR346690	male	2384	47	13	0.3828	(0.383, 0.383)	0.2167	(0.112, 0.321)	1.0	0.0	Success
