Run	actual_sex	SCiMS sample ID	SCiMS predicted sex	Total reads mapped	Reads mapped to X	Reads mapped to Y	Rx	Rx 95% CI	Ry	Ry 95% CI	Posterior probability of being male 	Posterior probability of being female 	Status
S1F150_SRR064532	female	S1F150_SRR064532	uncertain	67	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S1F200_SRR064532	female	S1F200_SRR064532	female	87	1	0	0.2366	(0.237, 0.237)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F250_SRR064532	female	S1F250_SRR064532	female	99	3	0	0.569	(0.569, 0.569)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F300_SRR064532	female	S1F300_SRR064532	female	123	4	0	0.6234	(0.623, 0.623)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F350_SRR064532	female	S1F350_SRR064532	female	159	8	0	1.0226	(1.023, 1.023)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F400_SRR064532	female	S1F400_SRR064532	female	173	8	0	0.9197	(0.92, 0.92)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F450_SRR064532	female	S1F450_SRR064532	female	205	5	0	0.4733	(0.473, 0.473)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S1F1000_SRR064532	female	S1F1000_SRR064532	female	434	14	0	0.6171	(0.617, 0.617)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F5000_SRR064532	female	S1F5000_SRR064532	female	2202	106	2	0.9412	(0.941, 0.941)	0.0185	(-0.007, 0.044)	0.0	1.0	Success
S1F10000_SRR064532	female	S1F10000_SRR064532	female	4332	203	1	0.922	(0.922, 0.922)	0.0049	(-0.005, 0.014)	0.0	1.0	Success
S1F100000_SRR064532	female	S1F100000_SRR064532	female	43490	1824	6	0.8233	(0.823, 0.823)	0.0033	(0.001, 0.006)	0.0	1.0	Success
S1F1000000_SRR064532	female	S1F1000000_SRR064532	female	436181	18775	93	0.8462	(0.846, 0.846)	0.0049	(0.004, 0.006)	0.0	1.0	Success
S1M150_SRR346690	male	S1M150_SRR346690	female	81	3	0	0.731	(0.731, 0.731)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S1M200_SRR346690	male	S1M200_SRR346690	female	97	6	0	1.2297	(1.23, 1.23)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M250_SRR346690	male	S1M250_SRR346690	female	136	1	0	0.1343	(0.134, 0.134)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M300_SRR346690	male	S1M300_SRR346690	female	145	2	0	0.2534	(0.253, 0.253)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M350_SRR346690	male	S1M350_SRR346690	uncertain	170	5	1	0.577	(0.577, 0.577)	0.1667	(-0.132, 0.465)	0.3058	0.6942	Success
S1M400_SRR346690	male	S1M400_SRR346690	male	193	1	1	0.0979	(0.098, 0.098)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S1M450_SRR346690	male	S1M450_SRR346690	female	223	9	0	0.7655	(0.765, 0.765)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S1M1000_SRR346690	male	S1M1000_SRR346690	male	487	5	4	0.1947	(0.195, 0.195)	0.4444	(0.12, 0.769)	1.0	0.0	Success
S1M5000_SRR346690	male	S1M5000_SRR346690	male	2471	61	11	0.4783	(0.478, 0.478)	0.1528	(0.07, 0.236)	1.0	0.0	Success
S1M10000_SRR346690	male	S1M10000_SRR346690	male	4901	119	27	0.4671	(0.467, 0.467)	0.1849	(0.122, 0.248)	1.0	0.0	Success
S1M100000_SRR346690	male	S1M100000_SRR346690	male	48946	1070	204	0.4227	(0.423, 0.423)	0.1601	(0.14, 0.18)	1.0	0.0	Success
S1M1000000_SRR346690	male	S1M1000000_SRR346690	male	489456	10564	2301	0.4159	(0.416, 0.416)	0.1789	(0.172, 0.185)	1.0	0.0	Success
S2F150_SRR064532	female	S2F150_SRR064532	female	63	3	0	1.0639	(1.064, 1.064)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F200_SRR064532	female	S2F200_SRR064532	female	83	4	0	0.9411	(0.941, 0.941)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F250_SRR064532	female	S2F250_SRR064532	female	111	8	0	1.5283	(1.528, 1.528)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F300_SRR064532	female	S2F300_SRR064532	female	149	4	0	0.5132	(0.513, 0.513)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S2F350_SRR064532	female	S2F350_SRR064532	female	139	6	0	0.8745	(0.875, 0.875)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S2F400_SRR064532	female	S2F400_SRR064532	female	171	8	0	0.9342	(0.934, 0.934)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F450_SRR064532	female	S2F450_SRR064532	female	192	5	0	0.5139	(0.514, 0.514)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S2F1000_SRR064532	female	S2F1000_SRR064532	female	463	20	1	0.8358	(0.836, 0.836)	0.0476	(-0.043, 0.139)	0.0002	0.9998	Success
S2F5000_SRR064532	female	S2F5000_SRR064532	female	2158	110	0	1.0104	(1.01, 1.01)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F10000_SRR064532	female	S2F10000_SRR064532	female	4336	176	0	0.8004	(0.8, 0.8)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S2F100000_SRR064532	female	S2F100000_SRR064532	female	43762	1901	8	0.8587	(0.859, 0.859)	0.0042	(0.001, 0.007)	0.0	1.0	Success
S2F1000000_SRR064532	female	S2F1000000_SRR064532	female	436032	18691	109	0.8433	(0.843, 0.843)	0.0058	(0.005, 0.007)	0.0	1.0	Success
S2M150_SRR346690	male	S2M150_SRR346690	uncertain	80	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S2M200_SRR346690	male	S2M200_SRR346690	male	99	0	1	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S2M250_SRR346690	male	S2M250_SRR346690	female	123	2	0	0.3277	(0.328, 0.328)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S2M300_SRR346690	male	S2M300_SRR346690	male	155	3	1	0.3554	(0.355, 0.355)	0.25	(-0.174, 0.674)	0.9961	0.0039	Success
S2M350_SRR346690	male	S2M350_SRR346690	female	185	5	0	0.5285	(0.529, 0.529)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S2M400_SRR346690	male	S2M400_SRR346690	female	210	2	0	0.1855	(0.185, 0.185)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2M450_SRR346690	male	S2M450_SRR346690	uncertain	226	6	1	0.4977	(0.498, 0.498)	0.1429	(-0.116, 0.402)	0.106	0.894	Success
S2M1000_SRR346690	male	S2M1000_SRR346690	male	479	11	5	0.4742	(0.474, 0.474)	0.3125	(0.085, 0.54)	1.0	0.0	Success
S2M5000_SRR346690	male	S2M5000_SRR346690	male	2452	51	12	0.3981	(0.398, 0.398)	0.1905	(0.094, 0.287)	1.0	0.0	Success
S2M10000_SRR346690	male	S2M10000_SRR346690	male	4880	104	26	0.4124	(0.412, 0.412)	0.2	(0.131, 0.269)	1.0	0.0	Success
S2M100000_SRR346690	male	S2M100000_SRR346690	male	48909	1066	232	0.4199	(0.42, 0.42)	0.1787	(0.158, 0.2)	1.0	0.0	Success
S2M1000000_SRR346690	male	S2M1000000_SRR346690	male	489256	10638	2297	0.419	(0.419, 0.419)	0.1776	(0.171, 0.184)	1.0	0.0	Success
S3F150_SRR064532	female	S3F150_SRR064532	female	62	4	0	1.3231	(1.323, 1.323)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F200_SRR064532	female	S3F200_SRR064532	female	85	3	0	0.6906	(0.691, 0.691)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S3F250_SRR064532	female	S3F250_SRR064532	female	116	8	0	1.4079	(1.408, 1.408)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F300_SRR064532	female	S3F300_SRR064532	female	129	6	0	0.8991	(0.899, 0.899)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F350_SRR064532	female	S3F350_SRR064532	female	153	5	0	0.6481	(0.648, 0.648)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S3F400_SRR064532	female	S3F400_SRR064532	female	149	7	0	0.9004	(0.9, 0.9)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F450_SRR064532	female	S3F450_SRR064532	female	181	8	0	0.8848	(0.885, 0.885)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F1000_SRR064532	female	S3F1000_SRR064532	female	416	18	0	0.8415	(0.842, 0.842)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S3F5000_SRR064532	female	S3F5000_SRR064532	female	2234	97	0	0.867	(0.867, 0.867)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F10000_SRR064532	female	S3F10000_SRR064532	female	4416	186	0	0.8233	(0.823, 0.823)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3F100000_SRR064532	female	S3F100000_SRR064532	female	43881	1893	6	0.8462	(0.846, 0.846)	0.0032	(0.001, 0.006)	0.0	1.0	Success
S3F1000000_SRR064532	female	S3F1000000_SRR064532	female	435242	18808	87	0.8497	(0.85, 0.85)	0.0046	(0.004, 0.006)	0.0	1.0	Success
S3M150_SRR346690	male	S3M150_SRR346690	female	70	2	0	0.5363	(0.536, 0.536)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S3M200_SRR346690	male	S3M200_SRR346690	female	99	2	0	0.3556	(0.356, 0.356)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S3M250_SRR346690	male	S3M250_SRR346690	female	124	4	0	0.5809	(0.581, 0.581)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S3M300_SRR346690	male	S3M300_SRR346690	female	154	2	0	0.2504	(0.25, 0.25)	0.0	(0.0, 0.0)	0.0	1.0	Success
S3M350_SRR346690	male	S3M350_SRR346690	male	164	2	1	0.24	(0.24, 0.24)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S3M400_SRR346690	male	S3M400_SRR346690	male	194	1	2	0.0978	(0.098, 0.098)	0.6667	(0.133, 1.2)	1.0	0.0	Success
S3M450_SRR346690	male	S3M450_SRR346690	male	232	6	4	0.5075	(0.508, 0.508)	0.4	(0.096, 0.704)	1.0	0.0	Success
S3M1000_SRR346690	male	S3M1000_SRR346690	uncertain	487	13	2	0.512	(0.512, 0.512)	0.1333	(-0.039, 0.305)	0.065	0.935	Success
S3M5000_SRR346690	male	S3M5000_SRR346690	male	2457	53	8	0.4135	(0.413, 0.413)	0.1311	(0.046, 0.216)	0.9874	0.0126	Success
S3M10000_SRR346690	male	S3M10000_SRR346690	male	4955	98	24	0.3813	(0.381, 0.381)	0.1967	(0.126, 0.267)	1.0	0.0	Success
S3M100000_SRR346690	male	S3M100000_SRR346690	male	48760	1063	220	0.4206	(0.421, 0.421)	0.1715	(0.151, 0.192)	1.0	0.0	Success
S3M1000000_SRR346690	male	S3M1000000_SRR346690	male	489292	10593	2300	0.4172	(0.417, 0.417)	0.1784	(0.172, 0.185)	1.0	0.0	Success
S4F150_SRR064532	female	S4F150_SRR064532	female	67	1	0	0.3087	(0.309, 0.309)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S4F200_SRR064532	female	S4F200_SRR064532	female	101	4	0	0.7459	(0.746, 0.746)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S4F250_SRR064532	female	S4F250_SRR064532	female	114	5	0	0.8194	(0.819, 0.819)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S4F300_SRR064532	female	S4F300_SRR064532	female	122	8	0	1.387	(1.387, 1.387)	0.0	(0.0, 0.0)	0.0	1.0	Success
S4F350_SRR064532	female	S4F350_SRR064532	female	140	8	0	1.093	(1.093, 1.093)	0.0	(0.0, 0.0)	0.0	1.0	Success
S4F400_SRR064532	female	S4F400_SRR064532	female	175	11	0	1.267	(1.267, 1.267)	0.0	(0.0, 0.0)	0.0	1.0	Success
S4F450_SRR064532	female	S4F450_SRR064532	female	212	8	0	0.7292	(0.729, 0.729)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S4F1000_SRR064532	female	S4F1000_SRR064532	female	463	22	0	0.9367	(0.937, 0.937)	0.0	(0.0, 0.0)	0.0	1.0	Success
S4F5000_SRR064532	female	S4F5000_SRR064532	female	2208	80	0	0.7139	(0.714, 0.714)	0.0	(0.0, 0.0)	0.005	0.995	Success
S4F10000_SRR064532	female	S4F10000_SRR064532	female	4396	185	1	0.8265	(0.827, 0.827)	0.0054	(-0.005, 0.016)	0.0	1.0	Success
S4F100000_SRR064532	female	S4F100000_SRR064532	female	43640	1890	11	0.8499	(0.85, 0.85)	0.0058	(0.002, 0.009)	0.0	1.0	Success
S4F1000000_SRR064532	female	S4F1000000_SRR064532	female	436385	18767	88	0.8458	(0.846, 0.846)	0.0047	(0.004, 0.006)	0.0	1.0	Success
S4M150_SRR346690	male	S4M150_SRR346690	female	75	1	0	0.2554	(0.255, 0.255)	0.0	(0.0, 0.0)	0.0	1.0	Success
S4M200_SRR346690	male	S4M200_SRR346690	female	86	3	0	0.6318	(0.632, 0.632)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S4M250_SRR346690	male	S4M250_SRR346690	uncertain	114	4	1	0.6914	(0.691, 0.691)	0.2	(-0.151, 0.551)	0.5973	0.4027	Success
S4M300_SRR346690	male	S4M300_SRR346690	female	162	5	0	0.5991	(0.599, 0.599)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S4M350_SRR346690	male	S4M350_SRR346690	female	156	4	0	0.5161	(0.516, 0.516)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S4M400_SRR346690	male	S4M400_SRR346690	male	190	1	1	0.0934	(0.093, 0.093)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S4M450_SRR346690	male	S4M450_SRR346690	uncertain	225	9	3	0.8157	(0.816, 0.816)	0.25	(0.005, 0.495)	0.8745	0.1255	Success
S4M1000_SRR346690	male	S4M1000_SRR346690	female	490	16	1	0.6206	(0.621, 0.621)	0.0588	(-0.053, 0.171)	0.0023	0.9977	Success
S4M5000_SRR346690	male	S4M5000_SRR346690	male	2502	59	12	0.4579	(0.458, 0.458)	0.169	(0.082, 0.256)	1.0	0.0	Success
S4M10000_SRR346690	male	S4M10000_SRR346690	male	4917	115	21	0.4543	(0.454, 0.454)	0.1544	(0.094, 0.215)	1.0	0.0	Success
S4M100000_SRR346690	male	S4M100000_SRR346690	male	48818	1113	228	0.4391	(0.439, 0.439)	0.17	(0.15, 0.19)	1.0	0.0	Success
S4M1000000_SRR346690	male	S4M1000000_SRR346690	male	488785	10593	2322	0.4173	(0.417, 0.417)	0.1798	(0.173, 0.186)	1.0	0.0	Success
S5F150_SRR064532	female	S5F150_SRR064532	female	74	2	0	0.474	(0.474, 0.474)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S5F200_SRR064532	female	S5F200_SRR064532	female	87	4	0	0.8508	(0.851, 0.851)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S5F250_SRR064532	female	S5F250_SRR064532	female	99	5	0	1.0027	(1.003, 1.003)	0.0	(0.0, 0.0)	0.0	1.0	Success
S5F300_SRR064532	female	S5F300_SRR064532	female	134	9	0	1.3671	(1.367, 1.367)	0.0	(0.0, 0.0)	0.0	1.0	Success
S5F350_SRR064532	female	S5F350_SRR064532	female	169	5	0	0.6	(0.6, 0.6)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S5F400_SRR064532	female	S5F400_SRR064532	female	167	11	0	1.3131	(1.313, 1.313)	0.0	(0.0, 0.0)	0.0	1.0	Success
S5F450_SRR064532	female	S5F450_SRR064532	female	182	8	0	0.8657	(0.866, 0.866)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S5F1000_SRR064532	female	S5F1000_SRR064532	female	426	22	0	1.0447	(1.045, 1.045)	0.0	(0.0, 0.0)	0.0	1.0	Success
S5F5000_SRR064532	female	S5F5000_SRR064532	female	2140	105	0	0.9603	(0.96, 0.96)	0.0	(0.0, 0.0)	0.0	1.0	Success
S5F10000_SRR064532	female	S5F10000_SRR064532	female	4331	175	2	0.7801	(0.78, 0.78)	0.0113	(-0.004, 0.027)	0.0003	0.9997	Success
S5F100000_SRR064532	female	S5F100000_SRR064532	female	43517	1879	3	0.8451	(0.845, 0.845)	0.0016	(-0.0, 0.003)	0.0	1.0	Success
S5F1000000_SRR064532	female	S5F1000000_SRR064532	female	437437	18958	93	0.8525	(0.853, 0.853)	0.0049	(0.004, 0.006)	0.0	1.0	Success
S5M150_SRR346690	male	S5M150_SRR346690	uncertain	71	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S5M200_SRR346690	male	S5M200_SRR346690	male	86	1	1	0.2273	(0.227, 0.227)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S5M250_SRR346690	male	S5M250_SRR346690	male	119	2	1	0.3178	(0.318, 0.318)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S5M300_SRR346690	male	S5M300_SRR346690	male	141	1	1	0.1297	(0.13, 0.13)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S5M350_SRR346690	male	S5M350_SRR346690	female	171	3	0	0.3252	(0.325, 0.325)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S5M400_SRR346690	male	S5M400_SRR346690	female	191	4	0	0.3959	(0.396, 0.396)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S5M450_SRR346690	male	S5M450_SRR346690	male	232	3	1	0.249	(0.249, 0.249)	0.25	(-0.174, 0.674)	0.9894	0.0106	Success
S5M1000_SRR346690	male	S5M1000_SRR346690	male	488	11	4	0.4392	(0.439, 0.439)	0.2667	(0.043, 0.49)	0.9994	0.0006	Success
S5M5000_SRR346690	male	S5M5000_SRR346690	male	2431	56	9	0.4395	(0.439, 0.439)	0.1385	(0.054, 0.222)	0.9991	0.0009	Success
S5M10000_SRR346690	male	S5M10000_SRR346690	male	4826	113	22	0.4561	(0.456, 0.456)	0.163	(0.101, 0.225)	1.0	0.0	Success
S5M100000_SRR346690	male	S5M100000_SRR346690	male	48969	1021	223	0.4015	(0.401, 0.401)	0.1793	(0.158, 0.201)	1.0	0.0	Success
S5M1000000_SRR346690	male	S5M1000000_SRR346690	male	489443	10703	2273	0.4212	(0.421, 0.421)	0.1752	(0.169, 0.182)	1.0	0.0	Success
S6F150_SRR064532	female	S6F150_SRR064532	female	58	1	0	0.395	(0.395, 0.395)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S6F200_SRR064532	female	S6F200_SRR064532	female	87	6	0	1.3423	(1.342, 1.342)	0.0	(0.0, 0.0)	0.0	1.0	Success
S6F250_SRR064532	female	S6F250_SRR064532	female	114	8	0	1.3565	(1.357, 1.357)	0.0	(0.0, 0.0)	0.0	1.0	Success
S6F300_SRR064532	female	S6F300_SRR064532	female	120	4	0	0.6439	(0.644, 0.644)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S6F350_SRR064532	female	S6F350_SRR064532	female	147	4	0	0.5051	(0.505, 0.505)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S6F400_SRR064532	female	S6F400_SRR064532	female	185	5	0	0.5165	(0.517, 0.517)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S6F450_SRR064532	female	S6F450_SRR064532	female	205	8	0	0.7969	(0.797, 0.797)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S6F1000_SRR064532	female	S6F1000_SRR064532	female	475	30	0	1.2565	(1.257, 1.257)	0.0	(0.0, 0.0)	0.0	1.0	Success
S6F5000_SRR064532	female	S6F5000_SRR064532	female	2182	75	1	0.6759	(0.676, 0.676)	0.0132	(-0.012, 0.039)	0.0096	0.9904	Success
S6F10000_SRR064532	female	S6F10000_SRR064532	female	4303	161	0	0.732	(0.732, 0.732)	0.0	(0.0, 0.0)	0.0029	0.9971	Success
S6F100000_SRR064532	female	S6F100000_SRR064532	female	43836	1892	4	0.849	(0.849, 0.849)	0.0021	(0.0, 0.004)	0.0	1.0	Success
S6F1000000_SRR064532	female	S6F1000000_SRR064532	female	436848	18702	92	0.8414	(0.841, 0.841)	0.0049	(0.004, 0.006)	0.0	1.0	Success
S6M150_SRR346690	male	S6M150_SRR346690	female	72	1	0	0.2851	(0.285, 0.285)	0.0	(0.0, 0.0)	0.0	1.0	Success
S6M200_SRR346690	male	S6M200_SRR346690	male	97	0	2	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S6M250_SRR346690	male	S6M250_SRR346690	male	122	4	2	0.6496	(0.65, 0.65)	0.3333	(-0.044, 0.711)	1.0	0.0	Success
S6M300_SRR346690	male	S6M300_SRR346690	female	148	4	0	0.5185	(0.519, 0.519)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S6M350_SRR346690	male	S6M350_SRR346690	uncertain	173	4	1	0.4282	(0.428, 0.428)	0.2	(-0.151, 0.551)	0.8321	0.1679	Success
S6M400_SRR346690	male	S6M400_SRR346690	female	196	5	0	0.5078	(0.508, 0.508)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S6M450_SRR346690	male	S6M450_SRR346690	female	223	11	1	1.0084	(1.008, 1.008)	0.0833	(-0.073, 0.24)	0.0	1.0	Success
S6M1000_SRR346690	male	S6M1000_SRR346690	male	511	8	3	0.297	(0.297, 0.297)	0.2727	(0.01, 0.536)	0.9998	0.0002	Success
S6M5000_SRR346690	male	S6M5000_SRR346690	male	2423	41	14	0.3229	(0.323, 0.323)	0.2545	(0.139, 0.37)	1.0	0.0	Success
S6M10000_SRR346690	male	S6M10000_SRR346690	male	4841	104	22	0.4128	(0.413, 0.413)	0.1746	(0.108, 0.241)	1.0	0.0	Success
S6M100000_SRR346690	male	S6M100000_SRR346690	male	48811	1040	216	0.4083	(0.408, 0.408)	0.172	(0.151, 0.193)	1.0	0.0	Success
S6M1000000_SRR346690	male	S6M1000000_SRR346690	male	489582	10688	2271	0.4207	(0.421, 0.421)	0.1752	(0.169, 0.182)	1.0	0.0	Success
S7F150_SRR064532	female	S7F150_SRR064532	female	61	4	0	1.3753	(1.375, 1.375)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F200_SRR064532	female	S7F200_SRR064532	female	91	5	0	1.213	(1.213, 1.213)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F250_SRR064532	female	S7F250_SRR064532	female	109	8	0	1.4027	(1.403, 1.403)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F300_SRR064532	female	S7F300_SRR064532	female	127	7	0	1.1134	(1.113, 1.113)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F350_SRR064532	female	S7F350_SRR064532	female	147	4	0	0.5522	(0.552, 0.552)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S7F400_SRR064532	female	S7F400_SRR064532	uncertain	179	4	1	0.411	(0.411, 0.411)	0.2	(-0.151, 0.551)	0.8225	0.1775	Success
S7F450_SRR064532	female	S7F450_SRR064532	female	198	11	0	1.1288	(1.129, 1.129)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F1000_SRR064532	female	S7F1000_SRR064532	female	439	17	0	0.7777	(0.778, 0.778)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S7F5000_SRR064532	female	S7F5000_SRR064532	female	2225	95	0	0.834	(0.834, 0.834)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7F10000_SRR064532	female	S7F10000_SRR064532	female	4331	180	1	0.8122	(0.812, 0.812)	0.0055	(-0.005, 0.016)	0.0001	0.9999	Success
S7F100000_SRR064532	female	S7F100000_SRR064532	female	43592	1849	13	0.8343	(0.834, 0.834)	0.007	(0.003, 0.011)	0.0	1.0	Success
S7F1000000_SRR064532	female	S7F1000000_SRR064532	female	436529	18678	86	0.8402	(0.84, 0.84)	0.0046	(0.004, 0.006)	0.0	1.0	Success
S7M150_SRR346690	male	S7M150_SRR346690	male	76	0	1	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S7M200_SRR346690	male	S7M200_SRR346690	female	111	5	0	0.9317	(0.932, 0.932)	0.0	(0.0, 0.0)	0.0	1.0	Success
S7M250_SRR346690	male	S7M250_SRR346690	female	120	4	0	0.6622	(0.662, 0.662)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S7M300_SRR346690	male	S7M300_SRR346690	male	163	4	2	0.5016	(0.502, 0.502)	0.3333	(-0.044, 0.711)	1.0	0.0	Success
S7M350_SRR346690	male	S7M350_SRR346690	female	168	7	0	0.8469	(0.847, 0.847)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S7M400_SRR346690	male	S7M400_SRR346690	female	174	3	0	0.319	(0.319, 0.319)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S7M450_SRR346690	male	S7M450_SRR346690	female	223	8	0	0.7202	(0.72, 0.72)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S7M1000_SRR346690	male	S7M1000_SRR346690	uncertain	505	13	1	0.5025	(0.502, 0.502)	0.0714	(-0.063, 0.206)	0.1385	0.8615	Success
S7M5000_SRR346690	male	S7M5000_SRR346690	male	2455	56	16	0.4414	(0.441, 0.441)	0.2222	(0.126, 0.318)	1.0	0.0	Success
S7M10000_SRR346690	male	S7M10000_SRR346690	male	4881	96	20	0.3772	(0.377, 0.377)	0.1724	(0.104, 0.241)	1.0	0.0	Success
S7M100000_SRR346690	male	S7M100000_SRR346690	male	48808	1091	225	0.4296	(0.43, 0.43)	0.171	(0.151, 0.191)	1.0	0.0	Success
S7M1000000_SRR346690	male	S7M1000000_SRR346690	male	489316	10691	2324	0.4212	(0.421, 0.421)	0.1786	(0.172, 0.185)	1.0	0.0	Success
S8F150_SRR064532	female	S8F150_SRR064532	uncertain	57	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S8F200_SRR064532	female	S8F200_SRR064532	female	105	3	0	0.5012	(0.501, 0.501)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S8F250_SRR064532	female	S8F250_SRR064532	female	117	4	0	0.6858	(0.686, 0.686)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S8F300_SRR064532	female	S8F300_SRR064532	female	129	7	0	1.1012	(1.101, 1.101)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F350_SRR064532	female	S8F350_SRR064532	female	163	11	0	1.4125	(1.412, 1.412)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F400_SRR064532	female	S8F400_SRR064532	female	179	11	0	1.1808	(1.181, 1.181)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F450_SRR064532	female	S8F450_SRR064532	female	196	15	0	1.6099	(1.61, 1.61)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F1000_SRR064532	female	S8F1000_SRR064532	female	426	14	0	0.6655	(0.666, 0.666)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S8F5000_SRR064532	female	S8F5000_SRR064532	female	2210	93	0	0.8366	(0.837, 0.837)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F10000_SRR064532	female	S8F10000_SRR064532	female	4438	194	0	0.8547	(0.855, 0.855)	0.0	(0.0, 0.0)	0.0	1.0	Success
S8F100000_SRR064532	female	S8F100000_SRR064532	female	43630	1838	10	0.8265	(0.827, 0.827)	0.0054	(0.002, 0.009)	0.0	1.0	Success
S8F1000000_SRR064532	female	S8F1000000_SRR064532	female	437350	18889	94	0.8489	(0.849, 0.849)	0.005	(0.004, 0.006)	0.0	1.0	Success
S8M150_SRR346690	male	S8M150_SRR346690	female	78	2	0	0.4578	(0.458, 0.458)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
